property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,security_deposit,cleaning_fee,extra_people,guests_included,weekly_price,monthly_price,reviews_per_month,coordinate1,coordinate2,coutry_code,coutry,availability_30,availability_60,availability_90,availability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1,1,5,1,"['TV', 'Cable TV', 'Wifi', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Lock on bedroom door', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",399.0,0.0,0.0,0,0,600.0,3000.0,0,-43.393534232339206,-22.969013331100093,BR,Brazil,30,60,90,365,10.0,10.0,10.0,10.0,10.0,8.0,100.0
Apartment,Entire home/apt,Real Bed,4,60,strict_14_with_grace_period,3,1,1,39,1,"['TV', 'Cable TV', 'Air conditioning', 'Pool', 'Kitchen', 'Elevator', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Hangers', 'Iron', 'Private living room', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Beach essentials']",97.0,0.0,90.0,25,25,770.0,2200.0,0,-157.8266,21.28084,US,United States,4,14,37,312,9.0,9.0,9.0,10.0,9.0,9.0,85.0
Apartment,Private room,Real Bed,1,1125,flexible,1,1,1,0,1,"['Wifi', 'Wheelchair accessible', 'Kitchen', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Washer', 'Dryer', 'Smoke detector', 'Safety card', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Iron', 'Laptop friendly workspace']",60.0,0.0,0.0,0,0,600.0,3000.0,0,-43.18471637510573,-22.913416062054356,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Bungalow,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2,1,1,10,1,"['Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Cat(s)', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hair dryer', 'Iron']",160.0,0.0,150.0,25,25,600.0,3000.0,0,-156.45205,20.76124,US,United States,6,9,34,296,10.0,10.0,10.0,10.0,10.0,10.0,98.0
Apartment,Private room,Real Bed,1,5,strict_14_with_grace_period,2,1,2,21,1,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Free street parking', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Luggage dropoff allowed', 'Host greets you']",65.0,0.0,50.0,0,0,420.0,3000.0,0,151.20377,-33.90017,AU,Australia,24,54,84,85,10.0,10.0,9.0,10.0,10.0,10.0,98.0
Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1,2,60,1,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Hot tub', 'Heating', 'Family/kid friendly', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Other']",1303.0,5000.0,0.0,0,0,6000.0,18000.0,0,114.21303,22.21846,HK,Hong Kong,0,9,9,262,9.0,9.0,10.0,10.0,10.0,9.0,93.0
Farm stay,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,10,3,6,35,3,"['TV', 'Cable TV', 'Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Pets allowed', 'Family/kid friendly', 'Washer', 'Dryer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Flat path to front door', 'Step-free access', 'Wide doorway', 'Accessible-height bed', 'Step-free access', 'Wide doorway', 'Accessible-height toilet', 'Wide clearance to shower', 'toilet', 'Step-free access', 'Wide entryway', 'Other', 'Handheld shower head', 'Roll-in shower']",350.0,300.0,350.0,50,50,600.0,3000.0,0,-157.90285,21.59125,US,United States,8,14,33,252,10.0,9.0,10.0,10.0,9.0,10.0,95.0
Apartment,Entire home/apt,Real Bed,4,270,strict_14_with_grace_period,4,0,2,119,1,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff']",239.0,0.0,50.0,15,15,600.0,3000.0,0,-73.9666,40.75489,US,United States,3,5,9,218,10.0,10.0,10.0,10.0,10.0,10.0,98.0
Apartment,Entire home/apt,Real Bed,21,28,flexible,2,1,1,0,1,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Washer', 'Smoke detector', 'Essentials', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",70.0,0.0,0.0,0,0,600.0,3000.0,0,151.20691,-33.89836,AU,Australia,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
House,Private room,Real Bed,1,30,flexible,2,1,1,1,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Family/kid friendly', 'Washer', 'Hangers', 'Iron', 'Laptop friendly workspace']",250.0,0.0,0.0,150,150,600.0,3000.0,0,-43.4186896742968,-22.96840021041473,BR,Brazil,30,60,90,90,6.0,10.0,8.0,8.0,10.0,10.0,80.0
Apartment,Private room,Pull-out Sofa,1,1125,strict_14_with_grace_period,2,1,1,3,1,"['Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Breakfast', 'Elevator', 'Washer', 'Dryer', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water']",317.0,0.0,0.0,0,0,600.0,3000.0,0,-43.181236294754925,-22.950189284501313,BR,Brazil,19,49,79,354,10.0,9.0,10.0,9.0,9.0,8.0,100.0
Loft,Entire home/apt,Real Bed,35,180,moderate,4,3,4,1,2,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Children’s books and toys', 'Room-darkening shades', 'Children’s dinnerware', 'Game console', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Wide doorway', 'Step-free access', 'Wide entryway', 'Host greets you', 'Paid parking on premises', 'Roll-in shower']",115.0,3500.0,300.0,30,30,600.0,3000.0,0,2.15413,41.39982,ES,Spain,0,0,0,0,10.0,6.0,10.0,10.0,10.0,10.0,100.0
Condominium,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1,1,52,1,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Breakfast', 'Free street parking', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Hot water', 'Bed linens', 'Host greets you', 'Beachfront']",85.0,0.0,0.0,0,0,600.0,3000.0,0,151.29282,-33.80031,AU,Australia,3,3,3,3,10.0,10.0,10.0,10.0,10.0,10.0,98.0
Condominium,Entire home/apt,Real Bed,3,45,strict_14_with_grace_period,4,2,2,55,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Hot tub', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony']",174.0,500.0,165.0,0,0,600.0,3000.0,0,-156.45649,20.76438,US,United States,4,6,9,176,10.0,10.0,10.0,10.0,9.0,9.0,95.0
Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,6,2,2,90,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Crib', 'Hot water', 'Bed linens', 'Host greets you']",527.0,200.0,70.0,0,0,600.0,3000.0,0,2.16663,41.37513,ES,Spain,8,14,29,108,10.0,9.0,10.0,10.0,9.0,9.0,95.0
Apartment,Private room,Real Bed,1,1125,flexible,2,1,1,0,2,"['Cable TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Doorman', 'Breakfast', 'Pets live on this property', 'Dog(s)', 'Elevator', 'Buzzer/wireless intercom', 'Washer', 'Essentials', 'Lock on bedroom door', '24-hour check-in', 'Laptop friendly workspace']",48.0,0.0,0.0,0,0,600.0,3000.0,0,-43.2533524829868,-22.944292537938367,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
House,Private room,Real Bed,1,1125,flexible,1,1,1,0,1,"['Wifi', 'Kitchen', 'Free parking on premises', 'Washer', 'Lock on bedroom door']",112.0,0.0,0.0,0,0,600.0,3000.0,0,-43.36534968594563,-22.930049818012783,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Private room,Real Bed,4,1125,moderate,2,1,1,9,1,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",30.0,0.0,0.0,10,10,600.0,3000.0,0,2.18116,41.38719,ES,Spain,0,0,0,0,10.0,9.0,9.0,10.0,10.0,9.0,97.0
House,Private room,Real Bed,1,7,strict_14_with_grace_period,2,5,0,203,4,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Full kitchen']",42.0,0.0,5.0,0,0,600.0,3000.0,0,-8.61297,41.14655,PT,Portugal,25,55,82,354,10.0,10.0,10.0,10.0,10.0,9.0,94.0
House,Private room,Real Bed,1,7,strict_14_with_grace_period,2,1,2,210,0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50']",36.0,0.0,5.0,0,0,600.0,3000.0,0,-8.6127,41.14557,PT,Portugal,17,40,58,316,10.0,10.0,10.0,10.0,10.0,9.0,92.0
Condominium,Private room,Real Bed,3,30,strict_14_with_grace_period,2,1,2,1,1,"['Wifi', 'Pool', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Gym', 'Elevator', 'Free street parking', 'Hot tub', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Hot water', 'Luggage dropoff allowed', 'Host greets you']",351.0,1000.0,115.0,0,0,600.0,3000.0,0,-43.19321647887779,-22.957538646861146,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,8.0,8.0,100.0
Apartment,Entire home/apt,Real Bed,5,90,super_strict_60,4,2,2,2,1,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Smoke detector', 'Essentials']",311.0,0.0,156.0,0,0,600.0,3000.0,0,-156.44864,20.7264,US,United States,4,11,18,152,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Condominium,Entire home/apt,Real Bed,3,180,flexible,2,1,1,55,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Smoke detector', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox']",90.0,200.0,99.0,0,0,600.0,3000.0,0,-158.20257,21.48382,US,United States,2,2,29,296,10.0,10.0,10.0,10.0,9.0,10.0,95.0
Apartment,Entire home/apt,Real Bed,1,1125,flexible,2,1,1,0,1,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Hangers', 'Hair dryer', 'Laptop friendly workspace']",75.0,0.0,0.0,0,0,600.0,3000.0,0,-8.61318,41.14107,PT,Portugal,29,59,89,364,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Private room,Real Bed,3,1125,strict_14_with_grace_period,2,1,2,79,1,"['Wifi', 'Kitchen', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Luggage dropoff allowed', 'Wide hallway clearance', 'Paid parking on premises']",49.0,0.0,0.0,10,10,193.0,810.0,0,2.1643,41.40211,ES,Spain,22,34,54,329,10.0,10.0,10.0,10.0,10.0,10.0,94.0
House,Entire home/apt,Real Bed,2,7,moderate,6,1,5,0,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Indoor fireplace', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron']",125.0,125.0,125.0,20,20,600.0,3000.0,0,-155.26935,19.44148,US,United States,29,59,89,364,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Cottage,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,8,4,4,5,2,"['TV', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Indoor fireplace', 'Washer', 'First aid kit', 'Safety card', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Long term stays allowed', 'Host greets you']",200.0,0.0,0.0,0,0,600.0,3000.0,0,-8.36356,40.93334,PT,Portugal,30,60,90,347,9.0,10.0,10.0,10.0,9.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,15,1125,strict_14_with_grace_period,8,3,5,0,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",2201.0,0.0,0.0,0,0,600.0,3000.0,0,-43.31720122256538,-23.01212481214021,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Serviced apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,4,0,2,3,1,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'High chair', 'Crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Luggage dropoff allowed', 'Long term stays allowed']",221.0,0.0,0.0,0,0,600.0,3000.0,0,28.98179,41.03828,TR,Turkey,4,24,49,49,7.0,7.0,7.0,9.0,7.0,7.0,67.0
Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1,1,0,0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Wheelchair accessible', 'Kitchen', 'Buzzer/wireless intercom', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",70.0,0.0,20.0,0,0,600.0,3000.0,0,151.27036,-33.89275,AU,Australia,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,2,3,17,1,"['TV', 'Wifi', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer']",85.0,0.0,0.0,0,0,600.0,3000.0,0,-8.60898,41.14234,PT,Portugal,30,57,79,343,10.0,10.0,10.0,10.0,10.0,10.0,93.0
Apartment,Entire home/apt,Real Bed,1,1124,moderate,2,0,1,157,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony']",90.0,200.0,30.0,15,15,600.0,3000.0,0,-73.58208,45.49165,CA,Canada,0,0,0,0,9.0,9.0,9.0,9.0,10.0,9.0,89.0
Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3,3,0,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Washer', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",951.0,0.0,0.0,0,0,600.0,3000.0,0,-43.46594355883066,-23.019530104675333,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,10,90,flexible,4,2,3,0,1,"['Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Indoor fireplace', 'Heating', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Laptop friendly workspace', 'Private living room']",110.0,0.0,0.0,0,0,600.0,3000.0,0,-73.96511,40.80302,US,United States,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Villa,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,8,4,5,10,4,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Hot tub', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",650.0,1000.0,500.0,50,50,600.0,3000.0,0,-154.81946,19.50157,US,United States,0,0,0,33,9.0,10.0,10.0,10.0,9.0,9.0,93.0
House,Entire home/apt,Real Bed,1,1125,flexible,16,9,15,0,7,"['Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Hot tub', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Iron', 'Laptop friendly workspace']",5595.0,0.0,0.0,0,0,600.0,3000.0,0,-43.32235641855684,-23.008260973065372,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,1,1125,moderate,6,2,4,133,1,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Pets allowed', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Pocket wifi', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Long term stays allowed', 'Host greets you', 'Paid parking on premises']",150.0,200.0,55.0,0,0,600.0,3000.0,0,2.175,41.40604,ES,Spain,22,33,53,280,10.0,10.0,10.0,10.0,10.0,10.0,95.0
Apartment,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,5,2,4,1,1,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Host greets you', 'Paid parking on premises']",70.0,150.0,80.0,10,10,600.0,3000.0,0,2.16666,41.38432,ES,Spain,9,39,69,256,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,5,1125,moderate,4,1,3,0,1,"['TV', 'Internet', 'Wifi', 'Wheelchair accessible', 'Kitchen', 'Smoking allowed', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",100.0,0.0,0.0,5,5,600.0,3000.0,0,-8.68676,41.17074,PT,Portugal,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Private room,Real Bed,2,15,flexible,2,1,1,0,1,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Host greets you']",84.0,0.0,42.0,37,37,600.0,3000.0,0,28.99838,41.04908,TR,Turkey,28,58,88,363,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Private room,Real Bed,1,1125,moderate,2,1,1,14,1,"['Wifi', 'Air conditioning', 'Kitchen', 'Washer', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox']",220.0,0.0,60.0,0,0,600.0,3000.0,0,114.13005,22.28392,HK,Hong Kong,0,0,0,0,10.0,10.0,9.0,10.0,10.0,10.0,94.0
Apartment,Entire home/apt,Real Bed,2,1125,moderate,3,1,1,122,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",50.0,0.0,15.0,10,10,600.0,3000.0,0,-8.60827,41.14542,PT,Portugal,0,0,0,0,9.0,9.0,9.0,9.0,10.0,9.0,90.0
Apartment,Entire home/apt,Real Bed,2,120,moderate,3,1,2,15,1,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer']",280.0,947.0,153.0,134,134,2499.0,3000.0,0,-43.1990101137809,-22.982413191528178,BR,Brazil,5,35,65,340,10.0,10.0,9.0,10.0,10.0,9.0,96.0
House,Entire home/apt,Real Bed,3,1125,moderate,5,2,2,2,2,"['TV', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Pets allowed', 'Family/kid friendly', 'Washer', 'Essentials', 'Hangers', 'Iron', 'Laptop friendly workspace']",55.0,0.0,0.0,0,0,600.0,3000.0,0,-8.44815,41.35459,PT,Portugal,0,8,32,251,10.0,8.0,10.0,10.0,8.0,10.0,100.0
House,Private room,Real Bed,1,1125,flexible,3,1,2,0,2,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Family/kid friendly', 'Suitable for events', 'Washer', 'First aid kit', 'Essentials', 'Lock on bedroom door', 'Hair dryer', 'Iron']",56.0,0.0,0.0,0,0,600.0,3000.0,0,-43.24723543198432,-22.935874631596256,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Pull-out Sofa,2,31,strict_14_with_grace_period,2,0,1,77,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Luggage dropoff allowed']",205.0,380.0,42.0,0,0,600.0,3000.0,0,-43.18822800527058,-22.97000440296209,BR,Brazil,25,55,85,321,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1,1,89,1,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Elevator', 'Hot tub', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water', 'Long term stays allowed', 'Paid parking on premises']",150.0,200.0,150.0,0,0,600.0,3000.0,0,-157.82437,21.27608,US,United States,9,19,34,77,10.0,9.0,10.0,10.0,10.0,9.0,94.0
