property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,security_deposit,cleaning_fee,extra_people,guests_included,weekly_price,monthly_price,reviews_per_month,coordinate1,coordinate2,coutry_code,coutry,availability_30,availability_60,availability_90,availability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating
Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,0,2,5,1,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",205.0,0.0,0.0,0,0,600.0,3000.0,0,-73.94472,40.72778,US,United States,30,31,31,243,9.0,10.0,10.0,8.0,9.0,9.0,88.0
Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0,1,0,1,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Washer', 'Smoke detector', 'Essentials', 'Shampoo', 'Laptop friendly workspace', 'Hot water', 'Bed linens']",43.0,0.0,0.0,12,12,600.0,3000.0,0,-73.54949,45.54548,CA,Canada,0,0,0,32,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1,2,3,1,"['Air conditioning', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', '24-hour check-in', 'translation missing: en.hosting_amenity_50']",699.0,0.0,0.0,0,0,5000.0,3000.0,0,114.15027,22.28158,HK,Hong Kong,0,0,0,0,10.0,10.0,10.0,10.0,10.0,8.0,100.0
Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3,3,0,1,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",140.0,0.0,0.0,0,0,600.0,3000.0,0,-73.57383,45.52233,CA,Canada,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,5,2,2,0,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', 'Hair dryer', 'Iron']",858.0,4476.0,112.0,75,75,600.0,3000.0,0,-43.4311123147628,-23.00035792660916,BR,Brazil,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1,1,0,1,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Doorman', 'Elevator', 'Family/kid friendly', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron']",361.0,0.0,0.0,130,130,600.0,3000.0,0,114.17158,22.30469,HK,Hong Kong,30,60,90,365,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Private room,Real Bed,1,9,flexible,2,1,2,0,1,"['Internet', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",50.0,100.0,10.0,0,0,600.0,3000.0,0,2.16942,41.40082,ES,Spain,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Loft,Entire home/apt,Real Bed,2,1125,moderate,2,1,1,178,1,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Long term stays allowed', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Step-free access', 'Handheld shower head', 'Paid parking on premises']",30.0,0.0,10.0,0,0,600.0,3000.0,0,-8.61123,41.15225,PT,Portugal,16,40,67,335,10.0,10.0,10.0,10.0,10.0,10.0,97.0
Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1,1,81,1,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'First aid kit', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Long term stays allowed', 'Host greets you']",181.0,0.0,50.0,100,100,1350.0,5000.0,0,114.1669,22.3314,HK,Hong Kong,14,24,40,220,10.0,8.0,10.0,10.0,10.0,10.0,92.0
Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0,1,64,1,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",181.0,300.0,50.0,0,0,600.0,3000.0,0,151.21554,-33.88029,AU,Australia,0,0,0,0,10.0,9.0,10.0,10.0,10.0,9.0,95.0
Apartment,Private room,Pull-out Sofa,2,1125,flexible,2,1,1,27,1,"['Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",58.0,0.0,0.0,60,60,387.0,3000.0,0,28.95825,41.03777,TR,Turkey,3,19,37,37,10.0,9.0,10.0,10.0,9.0,10.0,99.0
Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1,1,1,1,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials']",145.0,0.0,60.0,0,0,1000.0,3000.0,0,-74.00074,40.74577,US,United States,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
Apartment,Entire home/apt,Real Bed,2,30,moderate,2,1,1,109,1,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access']",185.0,800.0,120.0,0,0,600.0,3000.0,0,151.21346,-33.87603,AU,Australia,5,16,35,265,10.0,10.0,10.0,10.0,10.0,10.0,100.0
